"V1" "V2"
"311" 40 30
"340" 41 25
"499" 62 33
"396" 44 36
"506" 40 3
"19" 59 18
"224" 51 21
"316" 49 26
"86" 41 22
"201" 38 22
"16" 52 30
"222" 40 30
"268" 54 7
"438" 38 12
"135" 44 35
"478" 54 27
"119" 41 10
"104" 39 9
"131" 43 27
"10" 52 7
"154" 44 23
"220" 37 20
"322" 56 3
"229" 21 2
"497" 49 31
"406" 55 8
"502" 42 29
"282" 50 33
"359" 49 13
"371" 87 5
"305" 31 34
"443" 47 16
"152" 39 15
"455" 36 15
"122" 42 36
"113" 19 33
"124" 44 27
"416" 53 4
"456" 54 17
"391" 49 32
"203" 42 21
"395" 43 29
"483" 48 15
"241" 40 29
"362" 56 3
"418" 39 9
"377" 34 17
"413" 59 10
"479" 54 34
"127" 36 27
"310" 38 26
"514" 38 22
"109" 32 31
"137" 63 24
"162" 51 28
"509" 44 2
"329" 45 15
"69" 46 35
"368" 39 3
"2" 51 27
"470" 43 31
"337" 31 29
"369" 60 3
"115" 78 10
"14" 43 11
"313" 60 5
"280" 48 7
"423" 49 3
"195" 37 3
"236" 43 15
"176" 52 18
"490" 38 15
"277" 36 38
"440" 57 17
"523" 49 4
"320" 57 4
"397" 56 36
"106" 43 28
"35" 41 5
"47" 41 23
"334" 25 27
"433" 51 31
"287" 26 20
"21" 48 24
"246" 48 1
"213" 34 23
"266" 40 8
"432" 36 35
"103" 45 25
"164" 52 29
"121" 47 35
"451" 40 27
"525" 68 4
"26" 43 30
"250" 30 20
"520" 31 33
"381" 49 18
"463" 52 22
"453" 25 27
"217" 48 24
"450" 36 2
"118" 38 25
"308" 35 20
"352" 44 12
"186" 36 27
"522" 46 28
"477" 54 9
"370" 73 4
"25" 43 35
"452" 27 29
"278" 51 30
"165" 64 18
"405" 35 23
"531" 60 26
"160" 49 32
"321" 68 8
"187" 50 4
"383" 54 26
"306" 59 20
"384" 42 20
"408" 56 16
"494" 42 24
"105" 39 10
"244" 56 3
"111" 45 37
"93" 33 31
"364" 33 22
"360" 72 7
"234" 30 2
"255" 29 35
"336" 26 29
"66" 25 20
"251" 26 22
"153" 38 15
"435" 44 28
"325" 41 5
"298" 38 29
"398" 31 36
"215" 44 18
"94" 22 28
"345" 34 26
"358" 34 12
"62" 42 7
"459" 43 16
"188" 39 3
"22" 48 35
"237" 46 17
"23" 47 20
"466" 43 29
"439" 29 6
"283" 61 16
"285" 104 6
"275" 52 35
"299" 39 3
"88" 45 33
"192" 41 23
"117" 39 11
"458" 41 14
"189" 47 13
"271" 30 29
"199" 27 2
"96" 38 33
"182" 57 12
"181" 48 3
"144" 55 36
"323" 47 4
"157" 47 24
"212" 34 30
"441" 33 2
"482" 45 28
"97" 59 15
"529" 36 35
"314" 51 23
"403" 37 18
"83" 41 5
"142" 54 30
"31" 54 24
"107" 41 26
"460" 39 10
"64" 34 10
"74" 42 9
"532" 48 19
"193" 34 10
"447" 25 35
"61" 33 4
"465" 46 26
"386" 52 35
"454" 42 35
"488" 37 10
"404" 37 21
"146" 46 34
"419" 34 6
"53" 44 23
"430" 38 30
"341" 38 3
"513" 58 24
"87" 41 15
"11" 51 19
"504" 67 3
"253" 24 28
"63" 33 8
"82" 62 7
"207" 59 3
"382" 45 25
"495" 55 33
"43" 60 5
"385" 52 36
"138" 28 30
"79" 38 23
"324" 43 3
"335" 31 24
"511" 68 5
"77" 42 29
"73" 44 30
"480" 45 34
"194" 38 10
"492" 56 32
"148" 41 24
"422" 52 21
"338" 32 34
"389" 53 31
"151" 38 38
"13" 54 25
"249" 24 15
"18" 51 22
"420" 41 12
"409" 45 17
"238" 52 16
"327" 36 22
"365" 40 25
"139" 65 24
"518" 44 9
"256" 22 30
"485" 49 37
"363" 42 9
"330" 40 29
"446" 34 25
"474" 49 33
"248" 40 6
"265" 36 16
"356" 43 13
"328" 40 27
"226" 40 5
"179" 40 4
"214" 34 27
"84" 43 4
"28" 40 24
"8" 38 12
"91" 44 28
"204" 36 7
"230" 38 2
"99" 50 30
"218" 44 8
"380" 44 34
"232" 32 3
"56" 40 6
"284" 88 20
"114" 32 32
"178" 39 9
"169" 37 35
"198" 37 2
"484" 49 33
"254" 28 32
"235" 41 15
"208" 59 5
"228" 26 20
"95" 58 30
"304" 56 27
"436" 48 33
"437" 37 32
"36" 47 10
"462" 51 25
"33" 38 14
"331" 46 16
"76" 45 19
"102" 53 29
"350" 20 35
"390" 42 30
"288" 22 32
"467" 35 29
"472" 56 25
"3" 43 15
"60" 37 5
"59" 39 19
"342" 34 18
"81" 46 18
"40" 29 32
"378" 35 26
"191" 42 31
"344" 32 23
"425" 36 16
"159" 47 33
"155" 32 32
"507" 36 7
"72" 41 23
"272" 27 20
"133" 36 34
"239" 37 6
"45" 60 7
"428" 61 33
"37" 62 9
"190" 45 20
"512" 43 22
"185" 35 22
"206" 88 4
"292" 41 29
"136" 47 33
"399" 36 38
"57" 32 9
"140" 45 25
"493" 46 17
"300" 42 10
"468" 42 31
"9" 55 18
"261" 36 18
"85" 43 4
"161" 58 30
"98" 61 8
"309" 40 21
"315" 51 36
"221" 47 5
"67" 35 31
"319" 65 28
"262" 38 21
"38" 38 8
"170" 36 13
"270" 48 18
"242" 27 13
"17" 49 20
"424" 32 11
"51" 52 9
"130" 50 39
"58" 48 7
"348" 49 23
"24" 66 26
"20" 55 30
"307" 45 22
"168" 55 26
"267" 60 19
"184" 30 25
"112" 33 29
"355" 46 32
"318" 78 26
